NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
1,Acopio Móvil,Parque Dr. Luis Guevara Camacho,Oaxaca,Heroica Ciudad de Huajuapan de León,Del Carmen,Jerusalén,17.795464,-97.786795,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
2,Acopio Móvil,"Colonia Centro, San Andres Dinicuiti",Oaxaca,San Andrés Dinicuiti,Centro,Miguel Hidalgo,17.688798,-97.726693,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
3,Acopio Móvil,Santiago Cacaloxtepec,Oaxaca,Santiago Cacaloxtepec,Centro,Reforma,17.721161,97.742058,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
4,Acopio Móvil,Santa María Camotlán,Oaxaca,Santa María Camotlán,Centro,Antonio de León,17.897685,-97.692843,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
5,Acopio Móvil,Cerca de Parque Municipal,Oaxaca,Villa de Tamazulapan del Progreso,Centro,Avenida principal,17.672062,-97.573317,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
6,Acopio Móvil,San Jose Ayuquila,Oaxaca,San Jose Ayuquila,Centro,Hidalgo,17.943719,-97.969061,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
7,Acopio Móvil,Santa Catarina,Oaxaca,Santiago Ayuquililla,Centro,Benito Juárez,17.955576,-98.011498,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
8,Acopio Móvil,Col. Guadalupe,Oaxaca,Heroica Ciudad de Huajuapan de León,Guadalupe,Guadalupe Victoria,17.808887,-97.7836,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
9,Acopio Móvil,Parque Fovissste,Oaxaca,Heroica Ciudad de Huajuapan de León,Fovissste,C. 15,17.82688,-97.781314,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
10,Acopio Móvil,Santiago Chilixtlahuaca ,Oaxaca,Heroica Ciudad de Huajuapan de León,Barrio de Guadalupe,Matamoros,17.905328,-97.895191,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
11,Acopio Móvil,Col. Reforma,Oaxaca,Heroica Ciudad de Huajuapan de León,Reforma,Av. Ermita,17.822826,-97.784944,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
12,Acopio Móvil,Tejaltitlán,Oaxaca,San Jerónimo Silacayoapilla,Tejaltitlán,Flores,17.79919,-97.842656,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
13,Acopio Móvil,Cerca de la Iglesia san Diego de Alcalá,Oaxaca,Heroica Ciudad de Huajuapan de León,Santa María Xochixtlapilco,,17.780684,-97.787974,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
14,Acopio Móvil,Col. Santa Rosa 2da Sección,Oaxaca,Heroica Ciudad de Huajuapan de León,Santa Rosa 2da Sección,,17.82447,-97.778815,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
15,Acopio Móvil,Cerca del Parque Municipal ,Oaxaca,Santiago Ayuquililla,Centro,Porfirio Díaz,17.934752,-97.958497,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
16,Acopio Móvil,Antorcha Popular,Oaxaca,Heroica Ciudad de Huajuapan de León,San Miguel,Calle Aquiles Córdoba,17.830119,-97.790076,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
17,Acopio Móvil,Arroyo Chahue,Oaxaca,Santa María Huatulco,Arroyo Chahue,Bahía Maguey,15.77151,-96.141587,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
18,Acopio Móvil,Sector U2 Norte Canchas,Oaxaca,Santa María Huatulco,Sector U2 Norte,,15.785891,-96.141835,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
19,Acopio Móvil,"Sector H2, en las Canchas de Basquetbol",Oaxaca,Santa María Huatulco,Sector H2,,15.765435,-96.133454,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
20,Acopio Móvil,Frente a la Primaria Sor Juana Ines de la Cruz,Oaxaca,Santa María Tonameca,Cuatode Tonameca,,15.73481,-96.51984,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
21,Acopio Móvil,Rancho Parajito,Oaxaca,Santa María Huatulco,Rancho Parajito,,15.793333,-96.135,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
22,Acopio Móvil,Centro de Cozoaltepec,Oaxaca,Santa María Tonameca,Santa María Tonameca,,15.745644,-96.545506,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
23,Acopio Móvil,Sector U2 Parque,Oaxaca,Santa María Huatulco,Sector U2,,15.779874,-96.140308,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
24,Acopio Móvil,Col. Laguna Seca,Oaxaca,Santa María Huatulco,Laguna Seca,,15.794444,-96.128889,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
25,Acopio Móvil,Comunidad Piedra de Moros / Arrollo González,Oaxaca,Santa María Huatulco,Piedra de Moros,,15.798409,-96.231115,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
26,Acopio Móvil,Comunidad Paso Ancho,Oaxaca,Santa María Huatulco,Paso Ancho,,15.83279,-96.321783,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
27,Acopio Móvil,Palotada / Los Ciruelos,Oaxaca,San Pedro Pochutla,Centro,,15.723411,-96.388976,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
28,Acopio Móvil,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
29,Acopio Móvil,Cuapinolito,Oaxaca,Santa María Huatulco,Cuapinolito,,15.839973,-96.317019,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
30,Acopio Móvil,El Arenoso / El Faisán,Oaxaca,Santa María Huatulco,El Arenoso,,15.7908,-96.191744,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
31,Acopio Móvil,Bajos de Coyula/puente Coyula,Oaxaca,Santa María Huatulco,Puente de Coyula,,15.752659,-96.29909,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
32,Acopio Móvil,Sector I,Oaxaca,Santa María Huatulco,Sector I,,15.765917,-96.130904,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
33,Acopio Móvil,Barra de La Cruz,Oaxaca,Santiago Astata,Barra de La Cruz,,15.839358,-95.970705,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
34,Acopio Móvil,Fraccionamiento San Agustin,Oaxaca,Santa María Huatulco,Fraccionamiento San Agustin,,15.761974,-96.274323,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
35,Acopio Móvil,Fraccionamiento el Crucero o el Zapote,Oaxaca,Santa María Huatulco,Fraccionamiento el Crucero o el Zapote,,15.761779,-96.277117,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
36,Acopio Móvil,Comunidad Barra de Copalita,Oaxaca,Santa María Huatulco,Barra de Copalita,,15.818744,-96.06109,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
37,Acopio Móvil,Explanada Municipal de San Martin Cansecos,Oaxaca,San Martin de los Cansecos,San Mateo Rio Hondo,Piedras Negras - San Mateo Rio Hondo,16.656705,-96.727847,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
38,Acopio Móvil,San Baltazar Chichicapam,Oaxaca,San Baltazar Chichicapam,centro,Calle Benito Juarez,16.761843,-96.489638,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
39,Acopio Móvil,Cerca de la Telesecundaria Jalpan,Oaxaca,San Raymundo Jalpan,San Raymundo Jalpan,Privada de Arista,16.97534,-96.754687,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
40,Acopio Móvil,Hidalgo,Oaxaca,Coatecas,Ricardo Flores Magón 3ra sección,Hidalgo,16.54324,-96.673175,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
41,Acopio Móvil,Explanada Municipal San Martín Tilcajete,Oaxaca,San Martín Tilcajete,Centro,Progreso,16.860465,-96.69443,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
42,Acopio Móvil,Explanada Municipal San Miguel Ejutla,Oaxaca,San Miguel Ejutla,Morelos,Porfirio Díaz,16.577619,-96.735742,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
43,Acopio Móvil,Yaxe,Oaxaca,Yaxe,San Baltazar Chichicapam,,16.726129,-96.471358,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
44,Acopio Móvil,San Antonio Arrazola,Oaxaca,Santa Cruz Xoxocotlán,San Antonio Arrazola,,17.021966,-96.758159,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
45,Acopio Móvil,Morelos,Oaxaca,Zimatlán de Álvarez,El Trapiche,Morelos,16.763822,-96.858029,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
46,Acopio Móvil,Reforma,Oaxaca,Heroica Ciudad de Ejutla de Crespo,Reforma,Reforma,16.615171,-96.719178,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
47,Acopio Móvil,Ayoquezco de Aldama,Oaxaca,Zimatlán de Álvarez,Ayoquezco de Aldama,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
48,Acopio Móvil,Los Ocotes,Oaxaca,Heroica Ciudad de Ejutla de Crespo,Los Ocotes,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
49,Acopio Móvil,Hidalgo,Oaxaca,Coatecas,Ricardo Flores Magón 3ra sección,Hidalgo,16.54324,-96.673175,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
50,Acopio Móvil,Palacio Municipal,Oaxaca,San Pablo Huixtepec,Centro,Matamoros,16.82636,-96.78113,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
51,Acopio Móvil,Barrio San Antonio,Oaxaca,San Pablo Huixtepec,Barrio San Antonio,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
52,Acopio Móvil,Vicente Guerrero,Oaxaca,Cuilapam de Guerrero,Vicente Guerrero,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
53,Acopio Móvil,Tejas de Morelos,Oaxaca,Ocotlán de Morelos,Tejas de Morelos,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
54,Acopio Móvil,Barrio de Arriba,Oaxaca,Zimatlán de Álvarez,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
55,Acopio Móvil,Parque de San Pedro Apóstol,Oaxaca,Ocotlán de Morelos,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
56,Acopio Móvil,Campo de Beisbol Tequio Monte Alban,Oaxaca,San Agustín de las Juntas,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
57,Acopio Móvil,Col. Reforma,Oaxaca,Oaxaca de Juárez,Reforma,,17.078458,-96.713724,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
58,Acopio Móvil,Santiago Matatlán,Oaxaca,Santiago Matatlán,Santiago Matatlán,,16.868327,-96.381187,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
59,Acopio Móvil,San Baltazar Guelavila,Oaxaca,San Dionisio Ocotepec,Centro,,16.793966,-96.304495,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
60,Acopio Móvil,Fraccionamiento el Retiro,Oaxaca,Santa María Guelace,Fraccionamiento el Retiro,,17.04669,-96.63296,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
61,Acopio Móvil,San Sebastián Abasolo,Oaxaca,San Sebastián Abasolo,San Sebastián Abasolo,,16.995183,-96.589539,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
62,Acopio Móvil,Santa Lucia del Camino,Oaxaca,Santa Lucía del Camino,Villa de Díaz Ordaz,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
63,Acopio Móvil,Benito Juárez,Oaxaca,Villa Díaz Ordaz,Villa Díaz Ordaz,Benito Juárez,16.996596,-96.432531,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
64,Acopio Móvil,San Andres Ixtlahuaca,Oaxaca,San Andres Ixtlahuaca,Benito Juárez,,17.071832,-96.82695,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
65,Acopio Móvil,Templo de San Lucas,Oaxaca,San Lucas Quiavíni,Centro,,16.895017,-96.468011,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
66,Acopio Móvil,San Juan Guelavia,Oaxaca,San Juan Guelavia,Morelos,,16.9565,-96.546105,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
67,Acopio Móvil,Av. Coixtlahuaca,Oaxaca,San Pablo Huitzo,San Pablo Huitzo,Av. Coixtlahuaca,17.277369,-96.885164,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
68,Acopio Móvil,San Dionisio Ocotepec,Oaxaca,San Dionisio Ocotepec,Centro,,16.802805,-96.393132,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
69,Acopio Móvil,Santa Ana del Valle,Oaxaca,Santa Ana del Valle,Santa Ana del Valle,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
70,Acopio Móvil,Fraccionamiento el Rosario,Oaxaca,San Sebastián Tutla,Fraccionamiento el Rosario,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
71,Acopio Móvil,San Marcos Tlapazola,Oaxaca,Tlacolula de Matamoros,Centro,Avenida Principal,16.868269,-96.379761,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
72,Acopio Móvil,Fraccionamiento Ciudad Yagul,Oaxaca,Tlacolula de Matamoros,Ciudad Yugul,,16.978338,-96.462632,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
73,Acopio Móvil,San Felipe Güila,Oaxaca,Santiago Matatlán,San Felipe Güila,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
74,Acopio Móvil,San Bartolomé Quialana,Oaxaca,San Bartolomé Quialana,Centro,,16.903122,-96.501476,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
75,Acopio Móvil,Benito Juárez,Oaxaca,Villa Díaz Ordaz,Villa Díaz Ordaz,,16.996596,-96.432531,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
76,Acopio Móvil,Jalapa del Valle,Oaxaca,San Felipe Tejalápam,Jalapa del Valle,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
77,Acopio Móvil,Av. Libertad ,Oaxaca,Santa María Atzompa,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
78,Acopio Móvil,Miramar,Oaxaca,Santiago Pinotepa Nacional,Miramar,Progreso,16.333239,-98.055112,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
79,Acopio Móvil,Collantes,Oaxaca,Santiago Pinotepa Nacional,Centro,,16.187162,-97.970957,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
80,Acopio Móvil,"Parque Central Morelos, Santa Ma. Huazolotitlán",Oaxaca,Santa María Huazolotitlán,José María Morelos,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
81,Acopio Móvil,Iglesia Santiago Apóstol,Oaxaca,San Pedro Jicayán ,Col. Centro,Calle Pacifico,16.448945,-98.015738,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
82,Acopio Móvil,Cubitan de Dolores,Oaxaca,San Andrés Huaxpaltepec,Centro,,16.358675,-97.891566,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
83,Acopio Móvil,Centro de Fe y Amor,Oaxaca,Santa Catarina Mechoacán,Centro,,16.333356,-98.058265,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
84,Acopio Móvil,Comedor Juquilita,Oaxaca,San Agustín Chayuco,Centro,,16.40232,-97.808108,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
85,Acopio Móvil,Col. Aviación,Oaxaca,Santiago Jamiltepec,Aviación,,16.450455,-98.014066,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
86,Acopio Móvil,Cerca de la Secundaria Tec. Ind. No. 123 T.M,Oaxaca,San Pedro Jicayán ,Itindúa,,16.331885,-98.046956,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
87,Acopio Móvil,Cruz de Itacuán,Oaxaca,Santiago Pinotepa Nacional,Cruz de Itacuán,,16.281379,-97.833559,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
88,Acopio Móvil,5 de Mayo,Oaxaca,Santiago Pinotepa Nacional,5 de Mayo,,16.21161,-97.97903,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
89,Acopio Móvil,El Carrizo,Oaxaca,Santiago Pinotepa Nacional,El Carrizo,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
90,Acopio Móvil,Iglesia de San Andrés Tatachu,Oaxaca,San Andrés Huaxpaltepec,Centro,,16.329616,-97.916553,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
91,Acopio Móvil,Parque Central,Oaxaca,Pinotepa de Don Luis,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
92,Acopio Móvil,Cerro de la Esperanza,Oaxaca,Santiago Pinotepa Nacional,La Esperanza,,16.211503,-97.978724,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
93,Acopio Móvil,La Noria,Oaxaca,Santiago Pinotepa Nacional,Centro,,16.202359,-98.063625,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
94,Acopio Móvil,Parque Rasgado,Oaxaca,Salina Cruz,María Lombardo,Calle Porvenir,16.198935,-95.2020206,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
95,Acopio Móvil,Santa Cruz Bamba,Oaxaca,Santo Domingo Tehuantepec,Santa Cruz Bamba,,16.031679,-95.425597,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
96,Acopio Móvil,Deportiva Sur,Oaxaca,Salina Cruz,Deportiva Sur,Vicente Guerrero,16.209074,-95.207554,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
97,Acopio Móvil,Calle Manuel Ávila Camacho,Oaxaca,Salina Cruz,Francisco I. Madero,Calle Manuel Ávila Camacho,16.219407,-95.213022,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
98,Acopio Móvil,Barrio las Hormigas,Oaxaca,Salina Cruz,Las Hormigas,,16.181541,-95.193725,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
99,Acopio Móvil,Calle Virgilio Uribe,Oaxaca,Salina Cruz,Guadalupe,Calle Virgilio Uribe,16.176616,-95.197547,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
100,Acopio Móvil,Calle Loma Bonita,Oaxaca,Salina Cruz,Del Bosque,Calle Loma Bonita,16.213895,-95.222395,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
101,Acopio Móvil,Fraccionamiento Tortolita,Oaxaca,Salina Cruz,Playa la Colorada,Bahía San Diego,15.987747,-95.675805,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
102,Acopio Móvil,Hidalgo Poniente,Oaxaca,Salina Cruz,Hidalgo Poniente,Avenida Vicente Guerrero,16.205627,-95.206538,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
103,Acopio Móvil,Morro de Mazatan,Oaxaca,Santo Domingo Tehuantepec,Morro de Mazatan,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
104,Acopio Móvil,Calzada Teniente José Azueta,Oaxaca,Salina Cruz,San Pablo Norte,Calzada Teniente José Azueta,16.172907,-95.201725,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
105,Acopio Móvil,Av. del Trabajo,Oaxaca,Salina Cruz,Barrio Espinal,Av. del Trabajo,16.184708,-95.198517,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
106,Acopio Móvil,Calle Venustiano Carranza,Oaxaca,Salina Cruz,San Pablo Sur,Calle Venustiano Carranza,16.172923,-95.205381,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
107,Acopio Móvil,Mercado Publico Independencia,Oaxaca,San Pedro Huilotepec,Centro,,16.244132,-95.152956,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
108,Acopio Móvil,Hugo Mayoral,Oaxaca,Salina Cruz,Hugo Mayoral,16 de Octubre,16.207202,-95.216685,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
109,Acopio Móvil,Barrio Nuevo,Oaxaca,Salina Cruz,Barrio Nuevo,,16.179255,-95.198141,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
110,Acopio Móvil,Calle la Bahía Ventosa,Oaxaca,Salina Cruz,La Soledad,Calle la Bahía Ventosa,16.188723,-95.184264,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
111,Acopio Móvil,Calle Miahuatlán,Oaxaca,Salina Cruz,Petrolera,Calle Miahuatlán,16.204591,-95.192439,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
112,Acopio Móvil,Unidad Deportiva Imss,Oaxaca,Salina Cruz,Deportiva Norte,,16.213851,-95.21112,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
113,Acopio Móvil,Av. Tampico,Oaxaca,Salina Cruz,1 de Mayo,Av. Tampico,16.192418,-95.200556,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
114,Acopio Móvil,Santa Cruz Bamba,Oaxaca,Santa Cruz Bamba,Centro,,16.031679,-95.425597,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
115,Acopio Móvil,Calle Tehuantepec,Oaxaca,Salina Cruz,Porfirio Díaz,Calle Tehuantepec,16.214607,-95.19817,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
116,Acopio Móvil,Av. Pipila,Oaxaca,Santo Domingo Tehuantepec,José López Portillo,Esquina Cuauhtémoc ,16.312414,-95.258371,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
117,Acopio Móvil,Av. Aquiles Serdán,Oaxaca,Santo Domingo Tehuantepec,Barrio Lieza,Esquina con Cuauhtémoc,16.331605,-95.240606,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
118,Acopio Móvil,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,Calle Morelos esquina Ignacio López Rayón,16.37548,-95.260041,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
119,Acopio Móvil,Avenida Juárez,Oaxaca,Santo Domingo Tehuantepec,Barrio Jalisco,Avenida Juárez,16.326824,-95.231374,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
120,Acopio Móvil,Iglesia de la Santa Cruz,Oaxaca,San Pedro Comitancillo,Centro,,16.491987,-95.160923,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
121,Acopio Móvil,Parque Garibaldi,Oaxaca,Ciudad Ixtepec,Moderna,,16.556518,-95.095466,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
122,Acopio Móvil,Santo Domingo Chihuitán,Oaxaca,Santo Domingo Chihuitán,El Rosario,,16.591749,-95.162422,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
123,Acopio Móvil,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,Calle Morelos esquina Ignacio López Rayón,16.37548,-95.260041,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
124,Acopio Móvil,Jalapa del Marqués,Oaxaca,Santa María Jalapa del Marques,Centro,,16.439921,-95.443492,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
125,Acopio Móvil,Calle Porfirio Diaz ,Oaxaca,Santo Domingo Tehuantepec,San Antonio Monterrey,Entre Francisco I. Madero ,16.246264,-95.191631,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
126,Acopio Móvil,Calle Juárez ,Oaxaca,Santo Domingo Tehuantepec,San Luis Rey,,16.380163,-95.240956,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
