NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
127,Acopio Móvil,Calle Coronel Francisco Cortez ,Oaxaca,San Blas Atempa,San Blas Atempa,Esquina Francisco I. Madero,16.325392,-95.221578,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
128,Acopio Móvil,Comedor Lucy,Oaxaca,Magdalena Tequisistlán,Centro,Calle Benito Juárez y del Beso,16.399994,-95.605087,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
129,Acopio Móvil,Las Pajimas,Oaxaca,Magdalena Tequisistlán,Las Pajimas,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
130,Acopio Móvil,Calle Morelos ,Oaxaca,Santa María Mexquitilla,Santa Maria Mixtequilla,Calle Morelos esquina Ignacio López Rayón ,16.37548,-95.260041,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
131,Acopio Móvil,Rincón Moreno,Oaxaca,Santo Domingo Tehuantepec,Rincón Moreno,,16.229478,-95.312736,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
132,Acopio Móvil,Parque Municipal,Oaxaca,El Espinal,El Espinal,Cristóbal Colón y Benito Juárez,16.485541,-95.044025,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
133,Acopio Móvil,Ciudad Ixtepec,Oaxaca,Ciudad Ixtepec,Ixtepec,,16.556004,-95.095693,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
134,Acopio Móvil,Calle Ixtaltepec ,Oaxaca,Santo Domingo Tehuantepec,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
135,Acopio Móvil,El Trópico,Oaxaca,San Juan Bautista Tuxtepec,El Trópico,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
136,Acopio Móvil,El Naranjal,Oaxaca,San José Chiltepec,El Naranjal,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
137,Acopio Móvil,Paso Nuevo la Hamaca,Oaxaca,Santa María Jacatepec,Paso Nuevo la Hamaca,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
138,Acopio Móvil,El Arenal,Oaxaca,San Juan Bautista Valle Nacional,El Arenal,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
139,Acopio Móvil,Comunidad Bethania,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Bethania,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
140,Acopio Móvil,Camarón Salsipuedes ,Oaxaca,San Juan Bautista Tuxtepec,Camarón Salsipuedes ,,18.108854,-96.202631,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
141,Acopio Móvil,Piedra Quemada,Oaxaca,San Juan Bautista Tuxtepec,Piedra Quemada,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
142,Acopio Móvil,Comunidad Cerro Marín,Oaxaca,San Juan Bautista Valle Nacional,Cerro Marín,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
143,Acopio Móvil,Comunidad Zacate Colorado,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Zacate Colorado,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
144,Acopio Móvil,Comunidad Chinantilla,Oaxaca,San Juan Bautista Valle Nacional,Comunidad Chinantilla,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
145,Acopio Móvil,Comunidad Reforma,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Reforma,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
146,Acopio Móvil,Comunidad Vega del Sol,Oaxaca,Santa María Jacatepec,Comunidad Vega del Sol,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
147,Acopio Móvil,Frente al COBAO 54 Tierra Negra,Oaxaca,San José Chiltepec,Tierra Negra,,17.95432,-96.163913,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
148,Acopio Móvil,Col. Centro,Oaxaca,San Juan Bautista Valle Nacional,Centro,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
149,Acopio Móvil,Las Limas,Oaxaca,San Juan Bautista Tuxtepec,Las Limas,,18.069973,-96.124012,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
150,Acopio Móvil,Comunidad Nuevo Faisán,Oaxaca,San Juan Bautista Tuxtepec,Comunidad Nuevo Faisán,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
151,Acopio Móvil,Camarón Salsipuedes ,Oaxaca,San Juan Bautista Tuxtepec,Camarón Salsipuedes ,,18.108854,-96.202631,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
152,Acopio Móvil,La Trinidad,Oaxaca,Santa María Jacatepec,La Trinidad,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
153,Acopio Móvil,Comunidad Santa Sofía,Oaxaca,San José Chiltepec,Comunidad Santa Sofía,,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
154,Acopio Móvil,Comunidad de la Mina,Oaxaca,San Juan Bautista Tuxtepec,La Mina,,17.986081,-96.100046,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
155,Acopio Móvil,La Blanca,Oaxaca,Santo Domingo Ingenio ,La Blanca,,16.59386,-94.69302,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
156,Acopio Móvil,La Venta,Oaxaca,Juchitán de Zaragoza,La Venta,,16.57567,-94.81622,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
157,Acopio Móvil,El Porvenir,Oaxaca,San Miguel Chimalapa,El Porvenir,,17.472052,-95.25688,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
158,Acopio Móvil,Vista Hermosa,Oaxaca,San Miguel Chimalapa,Vista Hermosa,,16.667201,-94.784553,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
159,Acopio Móvil,San Miguel Chimalapa,Oaxaca,San Miguel Chimalapa,San Miguel Chimalapa,,16.479768,-94.83445,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
160,Acopio Móvil,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
161,Acopio Móvil,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
162,Acopio Móvil,Parque San Pedro Tepanatepec,Oaxaca,San Pedro Tapanatepec,Centro,,16.366816,-94.193928,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
163,Acopio Móvil,Rincón Juarez,Oaxaca,San Pedro Tapanatepec,Rincón Juarez,,16.280988,-94.354205,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
164,Acopio Móvil,Santo Domingo Ingenio ,Oaxaca,Santo Domingo Ingenio ,Centro,,16.584291,-94.769716,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
165,Acopio Móvil,Unión Hidalgo,Oaxaca,Unión Hidalgo,Centro,,16.479768,-94.83445,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
166,Acopio Móvil,San Dionisio del Mar,Oaxaca,San Dionisio del Mar,Centro,,16.323834,-94.756485,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
167,Acopio Móvil,Chicapa de Castro,Oaxaca,Juchitán de Zaragoza,Centro,,16.438594,-94.82276,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
168,Acopio Móvil,Asunción Ixtaltepec,Oaxaca,Asunción Ixtaltepec,Centro,,16.503403,-95.057636,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
169,Acopio Móvil,Boca del Monte,Oaxaca,San Juan Guachicovi,Boca del Monte,,17.061871,-95.017931,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
170,Acopio Móvil,Hidalgo Norte,Oaxaca,Matías Romero,Hidalgo Norte,,16.880214,-95.050076,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
171,Acopio Móvil,Asunción Ixtaltepec,Oaxaca,Asunción Ixtaltepec,Centro,,16.503403,-95.057636,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
172,Eco-Reto,Colegio de Bachilleres del Estado de Oaxaca Plantel 40 Bajo de Chila T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,Av. Primero de Mayo s/n esq. carretera Costera,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
173,Eco-Reto,Primaria Benito Juárez Tilzapote T.M.,Oaxaca,Santa María Tonameca,Tilzapote,Carretera Km. 1 Pochutla Col. Tilzapote C.P. 70946,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
174,Eco-Reto,J.N. Mestizo Jean Piaget T.M. ,Oaxaca,Santa María Tonameca,Agua Blanca,Carretera Federal 200 Col. Agua Blanca C.P. 70944,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
175,Eco-Reto,Primaria Vicente Guerrero T.M.,Oaxaca,Santa María Tonameca,Centro,"Carretera  Costera Puerto Escondido-Pochutla, colonia Centro. C.P. 70944",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
176,Eco-Reto,Secundaria General Macedonio Alcalá T.M.,Oaxaca,Santa María Tonameca,Centro,"Las Azucenas s/n, colonia Centro",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
177,Eco-Reto,Primaria Ignacio Mariscal T.M.,Oaxaca,Santa María Colotepec,Barra de Navidad,"Avenida Principal s/n, Colonia Barra de Navidad, C.P. 70934",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
178,Eco-Reto,Primaria Francisco I. Madero T.M. (Tomatal),Oaxaca,Santa María Colotepec,El Tomatal,"Calle Centro s/n, Colonia El Tomatal, C.P. 70934",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
179,Eco-Reto,Primaria Benjamín Bloom T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento Bacocho,"Av. Tlacochahuaya Mz. IV-A lt1, Col. Fraccionamiento Bacocho, C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
180,Eco-Reto,J.N. María del Carmen Serdán (Barra) T.M.,Oaxaca,Santa María Colotepec,Barra de Navidad,"Calle Principal s/n, Colonia Barra de Navidad, C.P. 70934",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
181,Eco-Reto,Primaria 1972 Año de Juárez T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Lázaro Cárdenas,"Avenida María Matamoros s/n, colonia Lázaro Cárdenas, Puerto Escondido, C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
182,Eco-Reto,Preparatoria Federal por Cooperación Puerto Escondido T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Hidalgo,"Eje Hidalgo esquina con Quinta Poniente, colonia Sector Hidalgo. C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
183,Eco-Reto,Primaria Álvaro Carrillo Alarcón T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento La Parota,"Ceiba s/n, colonia Fraccionamiento La Parota. C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
184,Eco-Reto,Primaria Lic. Adolfo López Mateos T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,"Primera Poniente s/n, ColoniaCentro, C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
185,Eco-Reto,J.N. a Primaria Centro de Atención Múltiple 20 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento Agua Marina,"Agua Turquesa s/n, Colonia Fraccionamiento Agua Marina, C.P. 71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
186,Eco-Reto,J.N Leyes de Reforma T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,3 Oriente y 5 Norte s/n Col. Sector Reforma C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
187,Eco-Reto,Primaria Ignacio Manuel Altamirano T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,"Calle Principal s/n, Col. Sector Reforma C.P71980",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
188,Eco-Reto,Secundaria Técnica 122 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Barrio Bajo Bajos de Chila,1° de Mayo esq Flores Magon s/n Col. Barrio Bajo Bajos de Chila C.P 71996 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
189,Eco-Reto,Primaria Fed. Antonio Caso T.M.,Oaxaca,San Pedro Mixtepec,Barrio Las Flores Bajos de Chila,2 de Abril s/n Col. Barrio Las Flores Bajos de Chila C.P 71981 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
190,Eco-Reto,Secundaria  Técnica 174 T.M.,Oaxaca,San Pedro Mixtepec,Fracc. Rinconada,Blvrd. Del Pacifico s/n Fracc. Rinconada C.P 71983 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
191,Eco-Reto,J.N Colegio Leona Vicario T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Granjas,Oceano Pacifico s/n Col. Granjas C.P 71984  ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
192,Eco-Reto,Primaria Juan Rulfo T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Granjas del Pescador,Oceano Pacifico s/n Col. Granjas del Pescador C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
193,Eco-Reto,CBTIS 240 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,Raul Gonzalez esq. Nuevo Leon s/n Col. Aeropuerto C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
194,Eco-Reto,Primaria Octavio Paz T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,5 de febrero 305 Col. Aeropuerto C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
195,Eco-Reto,COBAO 66 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Lomas de San Pedro,Lomas de San Pedro s/n  Col. Lomas de San Pedro  C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
196,Eco-Reto,J.N Emiliano Zapata  T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Las Flores,Claveles s/n Col. Las Flores C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
197,Eco-Reto,Secundaria Técnica 210 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto,Emiliano Zapata s/n Col. Aeropuerto C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
198,Eco-Reto,Primaria 21 de Marzo T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Reforma,1 norte y 12 oriente s/n Col. Reforma C. C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
199,Eco-Reto,Secundaria General Lucio Cabañas T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,San Miguel,Camino a la Union s/n Col. San Miguel C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
200,Eco-Reto,J.N Niños Héroes T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Benito Juarez,Av Cuauhtemoc s/n Col.  Benito Juarez C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
201,Eco-Reto,Primaria General Vicente Guerrero T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Arroyo seco,Mar Mediterraneo 400 Col. Arroyo seco C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
202,Eco-Reto,J.N Itzcoatl T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Libertad,Conocida s/n Col. Libertad C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
203,Eco-Reto,J.N Fernando Montes de Oca T.M.,Oaxaca,Santa María Colotepec,La Quebradora,Av Rio de la Bomba s/n Col. La Quebradora C.P 70938 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
204,Eco-Reto,Primaria  20 de noviembre T.M.,Oaxaca,Santa María Colotepec,Emiliano Zapata,20 de noviembre s/n Col. Emiliano Zapata C.P 70938,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
205,Eco-Reto,Preparatoria 2 de Octubre T.M.,Oaxaca,San Gabriel Mixtepec,Barrio Municipal,Andador Justo Sierra s/n Col. Barrio Municipal C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
206,Eco-Reto,Secundaria Técnica 136 San Gabriel T.M.,Oaxaca,San Gabriel Mixtepec,Bosque,Calzada Ayuntamiento 80 Col. Bosque C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
207,Eco-Reto,CECYTE Plantel 37 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Bosque,Ayuntamiento 80 Col. Bosque C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
208,Eco-Reto,J.N Ignacio Manuel Altamirano T.M.,Oaxaca,San Gabriel Mixtepec,Hidalgo,Ayuntamiento s/n Col. Hidalgo C.P 71980  ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
209,Eco-Reto,J.N Lazaro Cardenas T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Barrio Las Flores,Melchor Ocampo s/n Col. Barrio Las Flores   C.P 71981 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
210,Eco-Reto,Secundaria Centro Educativo Manantial T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,1 norte y 4 oriente s/n Col. Centro C.P ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
211,Eco-Reto,Primaria José Maria Morelos  T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Las Flores,Dalias s/n Col. Las Flores  C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
212,Eco-Reto,Primaria Melchor Ocampo T.M. ,Oaxaca,San Pedro Mixtepec Dtto-22,El Puente San José,Carretera a Oaaxaca km 8 Col. El Puente San José C.P 71990 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
213,Eco-Reto,Primaria Benito Juárez T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Los Limones San Pedro,Carretera a Oaaxaca km 8 Col. Los Limones San Pedro  C.P 71990 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
214,Eco-Reto,Primaria Leyes de Reforma T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,Mariano Matamoros s/n Col. Sector Reforma C.P 71990,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
215,Eco-Reto,Preparatoria COBAO 53 San Pedro T.M,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,Av Constitucion s/n Col. Sector Reforma C.P 71990,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
216,Eco-Reto,J.N. Josefa Ortiz de Dominguez T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,La Barra de Colotepec,Av Principal s/n Col. La Barra de Colotepec C.P 70934,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
217,Eco-Reto,Primaria Tierra y Libertad T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Zicatela,Av Brisas s/n Col. Zicatela C.P 70934,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
218,Eco-Reto,Preparatoria COBAO Plantel 36 T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro ,Av Independencia s/n Col. Centro C.P  70934,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
219,Eco-Reto,Primaria Miguel Hidalgo T.M.,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,Plaza Principal s/n Col. Centro C.P 71990,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
220,Eco-Reto,CECYTE Plantel 31 ,Oaxaca,Santa María Colotepec,Santa Elena,Camino a la playa s/n Col. Santa Elena C.P 70996,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
221,Eco-Reto,Primaria Lázaro Cárdenas T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,La Cruz,Av Nicolas Bravo s/n Col. La Cruz C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
222,Eco-Reto,J.N Bertha Domínguez Martínez T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,La Cruz,Guadalupe Victoria s/n Col. La Cruz C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
223,Eco-Reto,Primaria Progreso T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,Balbuena,Morelos 62 Col. Balbuena C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
224,Eco-Reto,Secundaria 23 de marzo T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,La Soledad,Av. 20 de noviembre s/n Col. La Soledad C.P 71830 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
225,Eco-Reto,COBAO Plantel 25 Rio Grande T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,Valle verde,Carretera Costera s/n Col. Valle verde C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
226,Eco-Reto,Primaria Narciso Mendoza T.M.,Oaxaca,Santa María Colotepec,La Barra de Colotepec,Principal s/n Col. L Barra Colotepec C.P 70934,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
227,Eco-Reto,Secundaria Tec. 235 T.M.,Oaxaca,Santa María Colotepec,La Barra de Colotepec,Parota 103 Col. La Barra de Colotepec C.P 70934,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
228,Eco-Reto,Primaria Guadalupe Victoria T.M.,Oaxaca,San Pedro Mixtepec,El Macuil,Carretera a Oaxaca s/n Col. El Macuil C.P 71980 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
229,Eco-Reto,Sec. Tec. 241 T.M.,Oaxaca,San Pedro Mixtepec,San Andres Copala ,Principal s/n Col. San Andres Copala C.P 71990 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
230,Eco-Reto,J.N. Pablo Neruda T.M,Oaxaca,San Pedro Mixtepec,San Andres Copala,Principal s/n Col. San Andres Copala C.P 71990 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
231,Eco-Reto,Primaria Revolución T.M.,Oaxaca,San Pedro Mixtepec,San Andres Copala,Principal s/n Col. San Andres Copala C.P 71990 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
232,Eco-Reto,Primaria y Secundaria Libertadores de America T.M.,Oaxaca,San Pedro Mixtepec,Sector Almendras,Tamarindos 806  Col. Sector Almendras C.P 71985,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
233,Eco-Reto,Primaria Rosario Castellanos T.M.,Oaxaca,Santa María Colotepec,Rio Valdeflores,Principal s/n  Col. Rio Valdeflores C.P 70934 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
234,Eco-Reto,Telesecundaria 1635Z T.M.,Oaxaca,San Pedro Mixtepec,Aguaje del Zapote,1 de mayo s/n Col. Aguaje del Zapote C.P 71996,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
235,Eco-Reto,Telesecundaria 73 T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,Hidalgo,Independencia s/n Col. Hidalgo C.P 71831,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
236,Eco-Reto,J.N. Frida Kahlo T.M.,Oaxaca,Santa María Colotepec, Emiliano Zapata,Av Plan de Ayala s/n Col.Emiliano Zapata C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
237,Eco-Reto,J.N. Andrés Henestrosa T.M.,Oaxaca,San Pedro Mixtepec,Ébano,2da norte s/n Col. Ebano C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
238,Eco-Reto,J.N. Benito Juarez T.M.,Oaxaca,San Pedro Mixtepec,Jardines,Almendros y Cerezos s/n Col. Jardines C.P 71980,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
